day,link,reflection
78,https://replit.com/@marcodeArg/Day78100Days#main.py,Today challenge I think it is meh. The Idea of this challenge is write your reflections day by day.
79,https://replit.com/@marcodeArg/Day79100Days#style.css,Today I learned about html forms. I made a login using only html and css because tomorrow we gonna add functionality to the form. 
80,https://replit.com/@marcodeArg/Day80100Days#main.py,Today I learned about request and the method POST in Flask. I finished the login system
81,coming soon, coming soon
82,coming soon, coming soon
83,coming soon, coming soon
84,coming soon, coming soon
85,coming soon, coming soon
86,coming soon, coming soon
87,coming soon, coming soon
88,coming soon, coming soon
89,coming soon, coming soon
90,coming soon, coming soon
91,coming soon, coming soon
92,coming soon, coming soon
93,coming soon, coming soon
94,coming soon, coming soon
95,coming soon, coming soon
96,coming soon, coming soon
97,coming soon, coming soon
98,coming soon, coming soon
99,coming soon, coming soon
100,coming soon, coming soon